5 100
550 353 282
8 660 314
337 463 266
42 332 304
65 427 264
214 599 9
672 377 13
292 266 13
417 179 12
314 410 15
115 300 13
587 171 9
501 77 16
288 90 8
273 267 12
580 466 9
678 439 14
235 367 8
492 206 11
516 109 13
397 24 10
551 611 9
374 222 15
249 449 11
475 526 9
238 159 14
672 516 10
221 16 10
534 583 14
73 524 14
277 555 10
334 120 9
217 277 10
510 491 14
662 405 13
511 295 15
413 40 14
530 684 16
137 474 13
345 197 13
189 674 11
13 216 15
452 627 9
185 296 11
306 140 15
322 236 15
304 162 8
259 38 11
430 27 10
298 654 15
254 72 12
146 539 16
296 567 10
82 397 9
402 429 10
428 66 11
216 111 11
532 10 9
196 243 15
397 155 9
270 149 16
228 438 9
373 475 16
234 240 8
339 175 12
606 649 12
8 574 10
105 655 8
198 562 12
518 566 9
109 242 12
352 506 12
687 531 11
547 664 13
239 90 9
319 361 15
670 365 16
32 658 8
442 161 9
30 276 12
404 647 14
379 183 10
77 630 14
351 40 8
80 49 12
293 438 11
92 608 14
85 532 10
660 48 8
453 447 11
577 378 16
354 685 9
359 624 16
348 345 12
79 510 16
297 70 11
154 699 12
220 100 11
125 559 13
133 60 9
461 134 9
211 303 11
316 571 12
466 128 11
133 196 16
