10 90
463 427 83
310 87 75
486 444 79
45 466 61
74 69 79
515 170 71
167 459 95
2 72 105
558 63 85
596 34 95
491 266 7
74 73 5
555 335 8
396 577 9
141 307 10
629 1 9
617 364 9
176 495 8
425 92 9
209 523 5
57 430 9
167 479 8
25 373 6
228 142 9
29 129 7
239 538 5
618 48 8
21 172 8
280 234 7
62 530 5
521 363 6
159 94 9
301 165 7
478 626 8
442 199 6
326 231 8
492 39 8
154 219 10
360 568 6
600 532 7
280 544 8
207 371 6
191 217 6
302 106 8
603 10 6
122 290 10
47 543 6
166 484 8
385 365 7
592 392 5
301 131 6
321 106 7
371 334 10
234 163 10
504 360 7
531 469 8
316 244 6
596 497 9
522 69 9
359 109 7
257 323 6
543 359 8
294 153 10
11 43 9
64 88 10
143 365 5
69 392 9
449 581 10
501 109 10
398 255 9
76 275 7
372 298 8
478 568 9
404 10 8
316 166 10
117 86 9
245 167 8
144 118 7
399 514 5
114 412 10
216 528 10
332 255 9
168 266 10
254 216 9
395 173 9
450 275 8
273 451 8
256 401 7
402 484 9
515 181 6
541 418 10
269 590 6
375 233 10
540 543 9
117 111 7
4 41 10
477 379 7
506 566 7
180 28 8
592 232 7
