data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_10_200,10,200,0,56604.96,0,0,7869.00,OPTIMAL
instance_15_300,15,300,0,124912.74,0,0,268916.00,OPTIMAL
instance_20_400,20,400,0,149417.54,0,0,931281.00,OPTIMAL
instance_25_500,25,500,0,221725.45,0,0,1200079.00,FEASIBLE
instance_50_1000,50,1000,0,551831.38,0,0,1200029.00,FEASIBLE
instance_35_700,35,700,0,437552.08,0,0,1200066.00,FEASIBLE
instance_40_800,40,800,0,517017.67,0,0,1200073.00,FEASIBLE
instance_30_600,30,600,0,334258.92,0,0,1200039.00,FEASIBLE
instance_45_900,45,900,0,477424.75,0,0,348697.00,OPTIMAL
instance_5_100,5,100,0,20589.52,0,0,91.00,OPTIMAL
