data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_5_20,5,20,0,-1.00,0,0,191.00,INFEASIBLE
instance_5_30,5,30,0,-1.00,0,0,16.00,INFEASIBLE
instance_5_40,5,40,0,3582.53,0,0,80.00,OPTIMAL
instance_5_70,5,70,0,8222.21,0,0,46.00,OPTIMAL
instance_5_50,5,50,0,4569.21,0,0,25.00,OPTIMAL
instance_5_80,5,80,0,14514.94,0,0,86.00,OPTIMAL
instance_5_60,5,60,0,5145.21,0,0,15.00,OPTIMAL
instance_5_100,5,100,0,19606.25,0,0,134.00,OPTIMAL
instance_5_90,5,90,0,16699.32,0,0,81.00,OPTIMAL
instance_10_10,10,10,0,117.82,0,0,6.00,OPTIMAL
instance_10_20,10,20,0,466.78,0,0,11.00,OPTIMAL
instance_10_30,10,30,0,2024.25,0,0,158.00,OPTIMAL
instance_10_40,10,40,0,2074.83,0,0,21.00,OPTIMAL
instance_10_50,10,50,0,3241.34,0,0,42.00,OPTIMAL
instance_10_60,10,60,0,5649.27,0,0,16.00,OPTIMAL
instance_10_70,10,70,0,5768.56,0,0,22.00,OPTIMAL
instance_10_80,10,80,0,9418.25,0,0,438.00,OPTIMAL
instance_10_90,10,90,0,9969.05,0,0,1173.00,OPTIMAL
instance_10_100,10,100,0,10813.13,0,0,40.00,OPTIMAL
instance_15_10,15,10,0,-1.00,0,0,1.00,INFEASIBLE
instance_15_20,15,20,0,-1.00,0,0,8.00,INFEASIBLE
instance_15_30,15,30,0,1691.47,0,0,426.00,OPTIMAL
instance_15_40,15,40,0,2047.38,0,0,384.00,OPTIMAL
instance_15_50,15,50,0,3210.08,0,0,211.00,OPTIMAL
instance_15_60,15,60,0,6337.66,0,0,988.00,OPTIMAL
instance_15_70,15,70,0,5789.22,0,0,637.00,OPTIMAL
instance_15_80,15,80,0,7951.45,0,0,580.00,OPTIMAL
instance_15_90,15,90,0,9056.81,0,0,300.00,OPTIMAL
instance_15_100,15,100,0,12967.83,0,0,153.00,OPTIMAL
instance_5_10,5,10,0,267.07,0,0,19.00,OPTIMAL
