data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_10_200,10,200,0,69573.18,0,0,1247.00,FEASIBLE
instance_15_300,15,300,0,191206.22,0,0,1351.00,FEASIBLE
instance_20_400,20,400,0,231193.81,0,0,1981.00,FEASIBLE
instance_25_500,25,500,0,338069.87,0,0,2101.00,FEASIBLE
instance_50_1000,50,1000,0,1026917.53,0,0,3891.00,FEASIBLE
instance_35_700,35,700,0,-1.00,0,0,2634.00,INFEASIBLE
instance_40_800,40,800,0,-1.00,0,0,3193.00,INFEASIBLE
instance_30_600,30,600,0,-1.00,0,0,2695.00,INFEASIBLE
instance_45_900,45,900,0,893809.55,0,0,3620.00,FEASIBLE
instance_5_100,5,100,0,23146.70,0,0,516.00,FEASIBLE
