data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_5_20,5,20,0,-1.00,0,0,177.00,INFEASIBLE
instance_5_30,5,30,0,-1.00,0,0,111.00,INFEASIBLE
instance_5_40,5,40,0,4157.24,0,0,214.00,FEASIBLE
instance_5_70,5,70,0,8589.27,0,0,334.00,FEASIBLE
instance_5_50,5,50,0,4714.52,0,0,135.00,FEASIBLE
instance_5_80,5,80,0,17467.83,0,0,259.00,FEASIBLE
instance_5_60,5,60,0,5323.57,0,0,160.00,FEASIBLE
instance_5_100,5,100,0,20445.13,0,0,395.00,FEASIBLE
instance_5_90,5,90,0,18302.78,0,0,307.00,FEASIBLE
instance_10_10,10,10,0,-1.00,0,0,3.00,INFEASIBLE
instance_10_20,10,20,0,529.72,0,0,17.00,FEASIBLE
instance_10_30,10,30,0,2167.48,0,0,46.00,FEASIBLE
instance_10_40,10,40,0,2420.37,0,0,84.00,FEASIBLE
instance_10_50,10,50,0,3552.61,0,0,143.00,FEASIBLE
instance_10_60,10,60,0,5933.92,0,0,193.00,FEASIBLE
instance_10_70,10,70,0,5908.06,0,0,271.00,FEASIBLE
instance_10_80,10,80,0,11088.72,0,0,271.00,FEASIBLE
instance_10_90,10,90,0,11670.48,0,0,420.00,FEASIBLE
instance_10_100,10,100,0,11365.58,0,0,462.00,FEASIBLE
instance_15_10,15,10,0,-1.00,0,0,6.00,INFEASIBLE
instance_15_20,15,20,0,-1.00,0,0,16.00,INFEASIBLE
instance_15_30,15,30,0,-1.00,0,0,45.00,INFEASIBLE
instance_15_40,15,40,0,3146.52,0,0,70.00,FEASIBLE
instance_15_50,15,50,0,3971.38,0,0,109.00,FEASIBLE
instance_15_60,15,60,0,7900.70,0,0,164.00,FEASIBLE
instance_15_70,15,70,0,7548.93,0,0,136.00,FEASIBLE
instance_15_80,15,80,0,10199.01,0,0,187.00,FEASIBLE
instance_15_90,15,90,0,10631.69,0,0,316.00,FEASIBLE
instance_15_100,15,100,0,14508.75,0,0,269.00,FEASIBLE
instance_5_10,5,10,0,-1.00,0,0,4.00,INFEASIBLE
