data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_10_200,10,200,0,56604.96,0,0,3795.00,OPTIMAL
instance_15_300,15,300,0,124912.74,0,0,508555.00,OPTIMAL
instance_20_400,20,400,0,149417.54,0,0,211519.00,OPTIMAL
instance_25_500,25,500,0,221483.04,0,0,1062055.00,OPTIMAL
instance_50_1000,50,1000,0,591064.12,0,0,1200145.00,FEASIBLE
instance_35_700,35,700,0,0.00,0,0,1200125.00,NOT_SOLVED
instance_40_800,40,800,0,552672.83,0,0,1200054.00,FEASIBLE
instance_30_600,30,600,0,333518.48,0,0,1200037.00,FEASIBLE
instance_45_900,45,900,0,477426.10,0,0,216205.00,OPTIMAL
instance_5_100,5,100,0,20589.52,0,0,390.00,OPTIMAL
