data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_10_200,10,200,0,67626.01,0,0,106.00,FEASIBLE
instance_15_300,15,300,0,177423.83,0,0,152.00,FEASIBLE
instance_20_400,20,400,0,197937.84,0,0,142.00,FEASIBLE
instance_25_500,25,500,0,283343.10,0,0,76.00,FEASIBLE
instance_50_1000,50,1000,0,744388.57,0,0,112.00,FEASIBLE
instance_35_700,35,700,0,-1.00,0,0,71.00,INFEASIBLE
instance_40_800,40,800,0,-1.00,0,0,87.00,INFEASIBLE
instance_30_600,30,600,0,-1.00,0,0,62.00,INFEASIBLE
instance_45_900,45,900,0,616482.93,0,0,100.00,FEASIBLE
instance_5_100,5,100,0,21460.65,0,0,8.00,FEASIBLE
