data,#hubs,#customers,run idx,result,#violation,violation,time,status
instance_5_20,5,20,0,-1.00,0,0,33.00,INFEASIBLE
instance_5_30,5,30,0,-1.00,0,0,21.00,INFEASIBLE
instance_5_40,5,40,0,3627.92,0,0,36.00,FEASIBLE
instance_5_70,5,70,0,8588.81,0,0,31.00,FEASIBLE
instance_5_50,5,50,0,4648.17,0,0,19.00,FEASIBLE
instance_5_80,5,80,0,16597.46,0,0,45.00,FEASIBLE
instance_5_60,5,60,0,5145.21,0,0,11.00,FEASIBLE
instance_5_100,5,100,0,19887.83,0,0,11.00,FEASIBLE
instance_5_90,5,90,0,17725.57,0,0,8.00,FEASIBLE
instance_10_10,10,10,0,117.82,0,0,4.00,FEASIBLE
instance_10_20,10,20,0,518.92,0,0,11.00,FEASIBLE
instance_10_30,10,30,0,2094.57,0,0,24.00,FEASIBLE
instance_10_40,10,40,0,2259.07,0,0,44.00,FEASIBLE
instance_10_50,10,50,0,3348.63,0,0,42.00,FEASIBLE
instance_10_60,10,60,0,5726.41,0,0,41.00,FEASIBLE
instance_10_70,10,70,0,5929.02,0,0,9.00,FEASIBLE
instance_10_80,10,80,0,10629.07,0,0,10.00,FEASIBLE
instance_10_90,10,90,0,10971.94,0,0,10.00,FEASIBLE
instance_10_100,10,100,0,10874.86,0,0,11.00,FEASIBLE
instance_15_10,15,10,0,-1.00,0,0,0.00,INFEASIBLE
instance_15_20,15,20,0,-1.00,0,0,1.00,INFEASIBLE
instance_15_30,15,30,0,-1.00,0,0,3.00,INFEASIBLE
instance_15_40,15,40,0,2274.13,0,0,3.00,FEASIBLE
instance_15_50,15,50,0,3523.35,0,0,5.00,FEASIBLE
instance_15_60,15,60,0,7264.92,0,0,7.00,FEASIBLE
instance_15_70,15,70,0,6284.86,0,0,4.00,FEASIBLE
instance_15_80,15,80,0,9407.59,0,0,10.00,FEASIBLE
instance_15_90,15,90,0,10961.76,0,0,11.00,FEASIBLE
instance_15_100,15,100,0,14042.22,0,0,11.00,FEASIBLE
instance_5_10,5,10,0,268.23,0,0,0.00,FEASIBLE
